,0
DMS_10G_score,0.046401741586442224
DMS_BL21_score,0.036775047940670894
DMS_BW2_score,0.0344635294737229
DMS_rfaD_score,0.08325041411553111
DMS_rfaG_score,0.0599454934462559
comb_10G_score,0.22266301908766434
comb_BL21_score,0.24782296163948817
comb_BW2_score,0.26941228435837183
comb_rfaG_score,0.2423219418398045
comb_rfaD_score,0.0
motif_10G_score,0.7309352393258934
motif_BL21_score,0.7154019904198409
motif_BW2_score,0.6961241861679053
motif_rfaD_score,0.9167495858844689
motif_rfaG_score,0.6977325647139396
DMS_10G_class,0.05149320369084234
DMS_BL21_class,0.05149320369084234
DMS_BW2_class,0.05149320369084234
DMS_rfaD_class,0.07949961705386775
DMS_rfaG_class,0.05149320369084234
comb_10G_class,0.35228362602109997
comb_BL21_class,0.35228362602109997
comb_BW2_class,0.35228362602109997
comb_rfaG_class,0.35228362602109997
comb_rfaD_class,0.0
motif_10G_class,0.5962231702880576
motif_BL21_class,0.5962231702880576
motif_BW2_class,0.5962231702880576
motif_rfaD_class,0.9205003829461321
motif_rfaG_class,0.5962231702880576
